model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
B_x,case_i_center,5.0,1.0,half_x_nm-,1.004429e-04,4.478550e-02
B_x,case_i_center,5.0,1.0,half_z_nm+,-5.943262e-02,-6.955508e-02
B_x,case_i_center,5.0,1.0,half_z_nm-,3.483772e-04,-6.870074e-02
B_x,case_i_center,5.0,1.0,period_nm+,2.005078e-04,-3.222573e-03
B_x,case_i_center,5.0,1.0,period_nm-,-6.207910e-04,6.034424e-04
B_x,case_i_center,10.0,0.5,baseline,-4.168615e-02,1.629073e-02
B_x,case_i_center,10.0,0.5,depth_nm+,-1.127096e-03,3.534376e-04
B_x,case_i_center,10.0,0.5,depth_nm-,7.598346e-03,-1.370306e-04
B_x,case_i_center,10.0,0.5,half_x_nm+,1.068888e-03,-2.762795e-02
B_x,case_i_center,10.0,0.5,half_x_nm-,4.722311e-02,-4.949521e-01
B_x,case_i_center,10.0,0.5,half_z_nm+,4.457524e-03,6.481356e-02
B_x,case_i_center,10.0,0.5,half_z_nm-,3.518638e-02,5.226213e-03
B_x,case_i_center,10.0,0.5,period_nm+,-1.483910e-03,-9.139131e-04
B_x,case_i_center,10.0,0.5,period_nm-,-7.175818e-03,1.391565e-04
B_x,case_i_center,10.0,1.0,baseline,-1.054559e-02,2.491580e-02
B_x,case_i_center,10.0,1.0,depth_nm+,-7.207349e-03,-1.054694e-03
B_x,case_i_center,10.0,1.0,depth_nm-,4.313861e-03,-3.485056e-05
B_x,case_i_center,10.0,1.0,half_x_nm+,6.056401e-04,-7.271244e-03
B_x,case_i_center,10.0,1.0,half_x_nm-,2.306345e-02,-1.199403e-01
B_x,case_i_center,10.0,1.0,half_z_nm+,1.490460e-02,-2.047776e-02
B_x,case_i_center,10.0,1.0,half_z_nm-,1.811576e-02,2.342151e-04
B_x,case_i_center,10.0,1.0,period_nm+,-2.891352e-04,-1.087998e-03
B_x,case_i_center,10.0,1.0,period_nm-,-1.591219e-03,1.814143e-05
B_x,case_i_center,20.0,0.5,baseline,5.347513e-04,-3.023566e-04
B_x,case_i_center,20.0,0.5,depth_nm+,1.091601e-05,1.985690e-05
B_x,case_i_center,20.0,0.5,depth_nm-,5.166426e-04,7.715590e-05
B_x,case_i_center,20.0,0.5,half_x_nm+,-2.613441e-03,-3.679760e-02
B_x,case_i_center,20.0,0.5,half_x_nm-,1.399447e-03,-3.075851e-03
B_x,case_i_center,20.0,0.5,half_z_nm+,-1.271895e-03,-8.285213e-02
B_x,case_i_center,20.0,0.5,half_z_nm-,1.186599e-03,-4.131449e-04
B_x,case_i_center,20.0,0.5,period_nm+,2.256108e-04,-5.253487e-06
B_x,case_i_center,20.0,0.5,period_nm-,8.003246e-04,1.438844e-04
B_x,case_i_center,20.0,1.0,baseline,-4.077246e-03,1.690764e-02
B_x,case_i_center,20.0,1.0,depth_nm+,1.094203e-03,-4.680885e-04
B_x,case_i_center,20.0,1.0,depth_nm-,-1.131234e-03,1.506704e-03
B_x,case_i_center,20.0,1.0,half_x_nm+,5.249026e-03,-8.293600e-02
B_x,case_i_center,20.0,1.0,half_x_nm-,-2.406802e-03,-2.061705e-02
B_x,case_i_center,20.0,1.0,half_z_nm+,2.407451e-03,-5.726872e-01
B_x,case_i_center,20.0,1.0,half_z_nm-,-2.340183e-03,1.396719e-03
B_x,case_i_center,20.0,1.0,period_nm+,-8.426117e-04,2.577048e-06
B_x,case_i_center,20.0,1.0,period_nm-,-3.507979e-03,2.019414e-02
B_x,case_ii_edge,5.0,0.5,baseline,5.290253e-03,-2.415459e-01
B_x,case_ii_edge,5.0,0.5,depth_nm+,1.390807e-03,4.006780e-02
B_x,case_ii_edge,5.0,0.5,depth_nm-,1.723915e-04,1.539330e-03
B_x,case_ii_edge,5.0,0.5,half_x_nm+,-7.488807e-03,-1.115327e-01
B_x,case_ii_edge,5.0,0.5,half_x_nm-,3.082900e-04,-7.001975e-04
B_x,case_ii_edge,5.0,0.5,half_z_nm+,-2.210245e-03,7.900356e-02
B_x,case_ii_edge,5.0,0.5,half_z_nm-,6.742119e-04,7.030882e-03
B_x,case_ii_edge,5.0,0.5,period_nm+,5.965322e-05,-1.447591e-02
B_x,case_ii_edge,5.0,0.5,period_nm-,8.872642e-04,1.501450e-04
B_x,case_ii_edge,5.0,1.0,baseline,2.776610e-02,-2.026925e-01
B_x,case_ii_edge,5.0,1.0,depth_nm+,4.321100e-03,2.496559e-02
B_x,case_ii_edge,5.0,1.0,depth_nm-,1.064741e-03,1.271633e-03
B_x,case_ii_edge,5.0,1.0,half_x_nm+,-2.632725e-02,-7.922935e-02
B_x,case_ii_edge,5.0,1.0,half_x_nm-,1.795712e-03,6.805153e-03
B_x,case_ii_edge,5.0,1.0,half_z_nm+,-4.974813e-03,1.071032e+00
B_x,case_ii_edge,5.0,1.0,half_z_nm-,3.085707e-03,1.180216e-02
B_x,case_ii_edge,5.0,1.0,period_nm+,5.773901e-05,-1.359700e-02
B_x,case_ii_edge,5.0,1.0,period_nm-,5.953160e-03,1.337169e-04
B_x,case_ii_edge,10.0,0.5,baseline,-1.443186e-03,1.751525e-02
B_x,case_ii_edge,10.0,0.5,depth_nm+,-4.441013e-04,1.704045e-03
B_x,case_ii_edge,10.0,0.5,depth_nm-,3.501321e-04,2.093516e-03
B_x,case_ii_edge,10.0,0.5,half_x_nm+,-4.478237e-03,-9.994353e-03
B_x,case_ii_edge,10.0,0.5,half_x_nm-,4.014745e-04,-5.989056e-03
B_x,case_ii_edge,10.0,0.5,half_z_nm+,-4.775058e-03,8.608775e-03
B_x,case_ii_edge,10.0,0.5,half_z_nm-,8.280035e-04,-2.460891e-03
B_x,case_ii_edge,10.0,0.5,period_nm+,9.564359e-05,-2.673630e-04
B_x,case_ii_edge,10.0,0.5,period_nm-,6.674927e-04,6.551769e-06
B_x,case_ii_edge,10.0,1.0,baseline,-1.787702e-03,-7.573448e-03
B_x,case_ii_edge,10.0,1.0,depth_nm+,-1.042248e-03,-3.563603e-04
B_x,case_ii_edge,10.0,1.0,depth_nm-,5.635002e-04,7.585167e-04
B_x,case_ii_edge,10.0,1.0,half_x_nm+,-6.986088e-03,4.599640e-03
B_x,case_ii_edge,10.0,1.0,half_x_nm-,9.181856e-04,-1.675339e-03
B_x,case_ii_edge,10.0,1.0,half_z_nm+,-7.588734e-03,5.618299e-03
B_x,case_ii_edge,10.0,1.0,half_z_nm-,1.301983e-03,-2.112758e-03
B_x,case_ii_edge,10.0,1.0,period_nm+,8.587961e-05,-2.385718e-04
B_x,case_ii_edge,10.0,1.0,period_nm-,1.032034e-03,1.563757e-05
B_x,case_ii_edge,20.0,0.5,baseline,7.535662e-05,2.996821e-04
B_x,case_ii_edge,20.0,0.5,depth_nm+,1.221862e-04,-1.607221e-04
B_x,case_ii_edge,20.0,0.5,depth_nm-,9.170748e-05,5.716074e-05
B_x,case_ii_edge,20.0,0.5,half_x_nm+,1.346045e-04,-2.616892e-04
B_x,case_ii_edge,20.0,0.5,half_x_nm-,2.294127e-05,-1.557288e-04
B_x,case_ii_edge,20.0,0.5,half_z_nm+,1.123177e-04,3.722373e-04
B_x,case_ii_edge,20.0,0.5,half_z_nm-,4.542939e-05,1.377589e-04
B_x,case_ii_edge,20.0,0.5,period_nm+,-9.741018e-06,-5.244729e-05
B_x,case_ii_edge,20.0,0.5,period_nm-,6.983545e-05,-5.282745e-06
B_x,case_ii_edge,20.0,1.0,baseline,-5.004130e-04,6.214667e-04
B_x,case_ii_edge,20.0,1.0,depth_nm+,-2.987114e-04,-3.100856e-03
B_x,case_ii_edge,20.0,1.0,depth_nm-,-2.948139e-04,4.880233e-04
B_x,case_ii_edge,20.0,1.0,half_x_nm+,-6.767574e-04,-3.753891e-04
B_x,case_ii_edge,20.0,1.0,half_x_nm-,-1.912014e-04,-1.032760e-03
B_x,case_ii_edge,20.0,1.0,half_z_nm+,-7.815747e-04,3.992260e-04
B_x,case_ii_edge,20.0,1.0,half_z_nm-,-2.087370e-04,1.102383e-03
