model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
B_x,case_i_center,20.0,0.5,half_z_nm+,-2.925523e-03,-4.316834e-02
B_x,case_i_center,20.0,0.5,half_z_nm-,2.578266e-03,-2.958170e-04
B_x,case_i_center,20.0,0.5,period_nm+,5.851409e-04,-3.122182e-06
B_x,case_i_center,20.0,0.5,period_nm-,2.051490e-03,6.314335e-05
B_x,case_i_center,20.0,1.0,baseline,-9.100062e-03,8.937523e-03
B_x,case_i_center,20.0,1.0,depth_nm+,2.353079e-03,-5.363161e-04
B_x,case_i_center,20.0,1.0,depth_nm-,-4.222362e-03,7.279473e-04
B_x,case_i_center,20.0,1.0,half_x_nm+,1.785269e-02,-5.495271e-02
B_x,case_i_center,20.0,1.0,half_x_nm-,-9.772239e-03,-1.012287e-02
B_x,case_i_center,20.0,1.0,half_z_nm+,7.829236e-03,-3.990218e-01
B_x,case_i_center,20.0,1.0,half_z_nm-,-8.886997e-03,2.902607e-04
B_x,case_i_center,20.0,1.0,period_nm+,-2.327417e-03,-5.283023e-06
B_x,case_i_center,20.0,1.0,period_nm-,-8.652174e-03,1.013975e-02
B_x,case_ii_edge,5.0,0.5,baseline,8.642227e-03,-2.128027e-01
B_x,case_ii_edge,5.0,0.5,depth_nm+,1.813516e-03,3.096235e-02
B_x,case_ii_edge,5.0,0.5,depth_nm-,2.891849e-04,1.624362e-03
B_x,case_ii_edge,5.0,0.5,half_x_nm+,-1.208685e-02,-1.041014e-01
B_x,case_ii_edge,5.0,0.5,half_x_nm-,5.105223e-04,-2.254970e-03
B_x,case_ii_edge,5.0,0.5,half_z_nm+,-3.503925e-03,4.354280e-02
B_x,case_ii_edge,5.0,0.5,half_z_nm-,1.067442e-03,5.497213e-03
B_x,case_ii_edge,5.0,0.5,period_nm+,1.048050e-04,-1.396335e-02
B_x,case_ii_edge,5.0,0.5,period_nm-,1.531788e-03,1.697282e-04
B_x,case_ii_edge,5.0,1.0,baseline,3.928323e-02,-1.446777e-01
B_x,case_ii_edge,5.0,1.0,depth_nm+,6.055033e-03,5.111964e-03
B_x,case_ii_edge,5.0,1.0,depth_nm-,1.479447e-03,4.290779e-04
B_x,case_ii_edge,5.0,1.0,half_x_nm+,-3.696120e-02,-4.427649e-02
B_x,case_ii_edge,5.0,1.0,half_x_nm-,2.449483e-03,6.366284e-03
B_x,case_ii_edge,5.0,1.0,half_z_nm+,-6.837725e-03,6.091252e-01
B_x,case_ii_edge,5.0,1.0,half_z_nm-,4.294823e-03,7.321554e-03
B_x,case_ii_edge,5.0,1.0,period_nm+,1.041774e-04,-9.776740e-03
B_x,case_ii_edge,5.0,1.0,period_nm-,8.358596e-03,9.491312e-05
B_x,case_ii_edge,20.0,0.5,baseline,1.665549e-04,1.771245e-04
B_x,case_ii_edge,20.0,0.5,depth_nm+,2.836949e-04,-1.400300e-04
B_x,case_ii_edge,20.0,0.5,depth_nm-,1.987154e-04,1.088303e-06
B_x,case_ii_edge,20.0,0.5,half_x_nm+,2.908999e-04,-2.129963e-04
B_x,case_ii_edge,20.0,0.5,half_x_nm-,5.430735e-05,-1.224259e-04
B_x,case_ii_edge,20.0,0.5,half_z_nm+,2.796074e-04,2.615085e-04
B_x,case_ii_edge,20.0,0.5,half_z_nm-,9.454670e-05,1.138282e-04
B_x,case_ii_edge,20.0,0.5,period_nm+,-1.939180e-05,-4.191228e-05
B_x,case_ii_edge,20.0,0.5,period_nm-,1.525966e-04,-5.407310e-06
B_x,case_ii_edge,20.0,1.0,baseline,-1.529588e-03,9.610298e-04
B_x,case_ii_edge,20.0,1.0,depth_nm+,-1.107259e-03,-1.016254e-03
B_x,case_ii_edge,20.0,1.0,depth_nm-,-9.622476e-04,1.810309e-03
B_x,case_ii_edge,20.0,1.0,half_x_nm+,-1.930616e-03,-6.428831e-05
B_x,case_ii_edge,20.0,1.0,half_x_nm-,-5.770680e-04,-5.308333e-04
B_x,case_ii_edge,20.0,1.0,half_z_nm+,-2.185579e-03,-2.414799e-04
B_x,case_ii_edge,20.0,1.0,half_z_nm-,-7.017256e-04,5.062966e-04
