ansatz,block,case,v_m_per_s,lambda_ueV,geometry,dP_v,dchi_phi
B_z,1,case_i_center,5.0,0.5,period_nm+,0.00048619695701110355,-0.0004216785019285985
B_z,1,case_i_center,5.0,0.5,period_nm-,-0.0003816308213730468,-0.0019423887383348565
B_z,1,case_i_center,5.0,1.0,baseline,-0.0005928284761217983,0.043482242166994416
B_z,1,case_i_center,5.0,1.0,depth_nm+,-0.0003919917093580874,0.014232326110065868
B_z,1,case_i_center,5.0,1.0,depth_nm-,-1.2172263198939604e-05,0.010671685973747026
B_z,1,case_i_center,5.0,1.0,half_x_nm+,0.000857524477870672,0.007392975818337668
B_z,1,case_i_center,5.0,1.0,half_x_nm-,0.0011147925807077352,0.003269841534376503
B_z,1,case_i_center,5.0,1.0,half_z_nm+,-0.001744222324552569,0.013762032560287308
B_z,1,case_i_center,5.0,1.0,half_z_nm-,0.00032481193357334444,0.0032692529831964655
B_z,1,case_i_center,5.0,1.0,period_nm+,0.0013661930258984517,-0.005538868005732282
B_z,1,case_i_center,5.0,1.0,period_nm-,-0.00030473431252087124,0.5844522132764355
B_z,1,case_i_center,10.0,0.5,baseline,-0.0001425023917599466,-1.3778859580450319e-05
B_z,1,case_i_center,10.0,0.5,depth_nm+,-0.00015126862237233724,6.694877724483408e-05
B_z,1,case_i_center,10.0,0.5,depth_nm-,-9.338639161166062e-05,-1.3259091198879723e-05
B_z,1,case_i_center,10.0,0.5,half_x_nm+,-6.10561743537661e-05,6.391830300001087e-05
B_z,1,case_i_center,10.0,0.5,half_x_nm-,-3.264080374623668e-05,-3.32446565626019e-05
B_z,1,case_i_center,10.0,0.5,half_z_nm+,0.0001462668646045051,-4.656500543029677e-06
B_z,1,case_i_center,10.0,0.5,half_z_nm-,-4.879691222876674e-05,2.5999284455987864e-05
B_z,1,case_i_center,10.0,0.5,period_nm+,-3.069629521987305e-05,7.47199298086667e-05
B_z,1,case_i_center,10.0,0.5,period_nm-,-5.6349781270351174e-05,-3.85118967373328e-05
B_z,1,case_i_center,10.0,1.0,baseline,0.00012298641720248638,-2.6213089593514873e-05
B_z,1,case_i_center,10.0,1.0,depth_nm+,0.0003232781840116772,0.00023544735674246192
B_z,1,case_i_center,10.0,1.0,depth_nm-,4.887939751291315e-05,-3.942289757691914e-05
B_z,1,case_i_center,10.0,1.0,half_x_nm+,0.00012125330143505919,0.0002049399201069011
B_z,1,case_i_center,10.0,1.0,half_x_nm-,2.0658213247704005e-05,-0.00017745135878315696
B_z,1,case_i_center,10.0,1.0,half_z_nm+,-0.0003143842149603282,0.00013383775779931856
B_z,1,case_i_center,10.0,1.0,half_z_nm-,0.00011245205596511348,8.574047823531295e-05
B_z,1,case_i_center,10.0,1.0,period_nm+,-9.949822957250332e-05,0.0005696131078582109
B_z,1,case_i_center,10.0,1.0,period_nm-,0.00016428595416528857,-0.00017254955486511363
B_z,1,case_i_center,20.0,0.5,baseline,-1.559395413670145e-05,-1.3254706104482466e-06
B_z,1,case_i_center,20.0,0.5,depth_nm+,5.2191905553680695e-05,-1.2774400412632016e-06
B_z,1,case_i_center,20.0,0.5,depth_nm-,2.5667357743300312e-05,3.84773088041153e-07
B_z,1,case_i_center,20.0,0.5,half_x_nm+,-4.86881589026808e-05,9.854566719412003e-07
B_z,1,case_i_center,20.0,0.5,half_x_nm-,-2.8934126244703484e-05,-1.2253605991390016e-06
B_z,1,case_i_center,20.0,0.5,half_z_nm+,-1.2846725496284961e-05,-3.63199252356232e-06
B_z,1,case_i_center,20.0,0.5,half_z_nm-,-3.0353677148334257e-05,5.32239178666843e-07
B_z,1,case_i_center,20.0,0.5,period_nm+,-4.168676766337642e-05,1.4753196035749644e-06
B_z,1,case_i_center,20.0,0.5,period_nm-,-1.2811553819797039e-05,-1.0713886296729073e-06
B_z,1,case_i_center,20.0,1.0,baseline,-0.0001001991797657531,-3.829540689168334e-06
B_z,1,case_i_center,20.0,1.0,depth_nm+,0.00016132516237613026,-4.529480424445855e-07
B_z,1,case_i_center,20.0,1.0,depth_nm-,7.293524156103126e-05,1.731694888878202e-06
B_z,1,case_i_center,20.0,1.0,half_x_nm+,-0.0001436801650707975,3.8338372505607196e-06
B_z,1,case_i_center,20.0,1.0,half_x_nm-,-6.490442494330728e-05,-4.1095271194708334e-06
B_z,1,case_i_center,20.0,1.0,half_z_nm+,2.2218012045271962e-05,-1.3099138855232862e-05
